date/time,comment_id,fullname,text,likes,replyComment count
2019-03-01T12:15:33Z,UgwM0X7VkGnR0lfkaV14AaABAg,verlina licong,SO INLOVE WIT THIS SONG 💛,0,0
2018-09-12T05:05:22Z,UgxBNMU68NzY_SNXGmF4AaABAg,Christopher Ferrer,Any announcement of LANY'S 2019 concert in Manila? Hehe just can't wait!,71,25
2018-09-20T05:54:36Z,Ugw1Lb2QqNcY84nwPPV4AaABAg,Myel,Loving every song of theirs so far 💙,0,0
2019-05-03T17:53:53Z,UgwKk-3MFBXO__jCnkV4AaABAg,Keely Jalissa,I'm so in love with Jhope omg dudnsiebebsdbejehwnsjsdbejwb,0,0
2018-10-12T22:19:06Z,UgzEPtkzRKCDGpq3wzZ4AaABAg,02superkid,LANY always giving the 90's vibes..amazingly refreshing to the soul,0,0
2019-01-03T00:33:36Z,UgyqCP3rfhZgjOiedOd4AaABAg,Ezequiel Melo,2019 i Love forever 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,2,0
2018-09-12T13:37:24Z,UgwkHDnX8zNU9pCZx8J4AaABAg,Delighted Polcas,Oh it just a normal day where LANY is endlessly making me missing an ex boyfriend that I've never had.,280,3
2019-04-30T09:46:32Z,UgwScTpx_MGRzGfv4ep4AaABAg,Denise Paulino,"So uhh yeah i came here because hobi was listening to this and it caught my attention and looked hard to find this song👌 beautiful song tho, hobi's got a good taste in music💜💜",2,0
2020-03-06T16:19:16Z,Ugyzy2AWeDGn6T5VkPZ4AaABAg,Sheila Umandap,I dedicate this song to my bestfriend thankyouuu and iloveyou!!,0,0
2020-03-11T12:56:25Z,UgyM9zcspbUIumi2m354AaABAg,Apple Harvey,I feel the pain in this song 😭😭😭😢😢😢,0,0
2019-06-18T07:19:06Z,UgwdVu5uZD5w7DY-6nV4AaABAg,toucher panggabean,thankyou mark lee for introducing me to this masterpiece,7,0
2018-09-12T04:02:10Z,Ugza9cqkb7hUOcDGzch4AaABAg,yehaww !,20 SECONDS AND I ALREADY LOVE THIS SONG,77,0
2018-10-03T00:11:19Z,UgyWaKfXX04yi0cfp3p4AaABAg,Aira Viñas,thought you'd be there thru thick and thin :( Love this song!!!!,0,0
2018-10-15T08:14:09Z,Ugz8Wxy6WqTXhjLlWYl4AaABAg,Nicole Dacara,DUA I'M A FAN BUT YOU BROKE THE HEART OF MY LOVEEEEEEE,0,0
