date/time,comment_id,fullname,text,likes,replyComment count
2021-05-16T05:29:58Z,UgwPQ5duLgn2rkf8FFR4AaABAg,Bad boy,Coming soon #1 on trending🔥🔥🔥🔥,31,3
2021-06-04T15:01:26Z,UgwR-GHbmsrMIN-YJOF4AaABAg,Deepak Saini,Top,0,0
2021-06-03T12:23:32Z,Ugyb7EKuhM7rsWLl8M94AaABAg,Jasmer Singh,Sidhu muse wala atty👍👍,0,0
2021-06-02T16:22:02Z,UgxHbrx3BRjRJaDNDFx4AaABAg,Gursewak Singh,Atttttt.y ji,0,0
2021-06-02T07:48:44Z,Ugw-StgVTdfp-5YXOLx4AaABAg,Gurpreet Grewal,Op song,0,0
2021-05-21T16:54:14Z,UgxZDmCbQwAE0eNjiSJ4AaABAg,Harjotinder Harjot,1.1Million likes completed in just 6 days this is the Power of sidhu moosewala 🔥🔥🔥🔥🔥🔥🔥,48,4
2021-06-05T11:55:40Z,UgyjOfIZ-3hM6zDN4ad4AaABAg,prajwal gaikwad,Mahool,0,0
2021-06-02T07:04:11Z,Ugyw9HoY-DCSqZHglcd4AaABAg,binder duggal,Always trending,0,0
2021-06-03T10:13:06Z,Ugw7vOuALvMDyrEW1vh4AaABAg,Güŕđhîàń Môôśà [Manse Alle Bhu],Sadde cmment v like krdo asi v sidhu de fan A 😔,3,0
2021-06-02T19:56:21Z,UgwL2lci_XF02TI0CGt4AaABAg,No. 1 Youtuber In Airport Coming To Meet Fans,It will reach 50 M,0,0
2021-05-29T08:58:48Z,UgxfmsN9v1_SSyU8ppp4AaABAg,YATIN,On 1 position on billboard 🚨📀,101,2
